d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
500.0,6.0,0.1,100.0,53359.37500000003,54312.5,1.333984375,27.15625
500.0,6.0,0.1,500.0,1333984.3749999993,1352000.0,1.333984375,676.0
500.0,6.0,1.0,1.0,17.87500000000001,1070.3125,4.46875,0.53515625
500.0,6.0,1.0,10.0,1787.5000000000018,106000.0,4.46875,53.0
500.0,6.0,1.0,100.0,178749.99999999968,10496000.0,4.46875,5248.0
500.0,6.0,1.0,500.0,4468750.000000004,268288000.0,4.46875,134144.0
500.0,6.0,10.0,1.0,95.15624999999991,47578.125,23.7890625,23.7890625
500.0,6.0,10.0,10.0,9515.625000000002,4699687.5,23.7890625,2349.84375
500.0,6.0,10.0,100.0,951562.5000000003,469577812.5,23.7890625,234788.90625
500.0,6.0,10.0,500.0,23789062.499999985,11738815312.5,23.7890625,5869407.65625
1000.0,1.0,0.01,1.0,4.242187499999986,4.2266845703125,1.060546875,0.0010566711425781
1000.0,1.0,0.01,10.0,424.2187499999989,422.8515625,1.060546875,0.105712890625
1000.0,1.0,0.01,100.0,42421.87499999994,42312.5,1.060546875,10.578125
1000.0,1.0,0.01,500.0,1060546.8749999958,1058000.0,1.060546875,264.5
1000.0,1.0,0.1,1.0,4.2421874999999964,4.2877197265625,1.060546875,0.0010719299316406
1000.0,1.0,0.1,10.0,424.21875,425.78125,1.060546875,0.1064453125
1000.0,1.0,0.1,100.0,42421.875,42500.0,1.060546875,10.625
1000.0,1.0,0.1,500.0,1060546.875000001,1080000.0,1.060546875,270.0
1000.0,1.0,1.0,1.0,5.250000000000011,375.0,1.3125,0.09375
1000.0,1.0,1.0,10.0,524.9999999999998,25000.0,1.3125,6.25
1000.0,1.0,1.0,100.0,52500.000000000095,2816000.0,1.3125,704.0
1000.0,1.0,1.0,500.0,1312500.000000002,63488000.0,1.3125,15872.0
1000.0,1.0,10.0,1.0,9.999999999999991,10000.0,2.5,2.5
1000.0,1.0,10.0,10.0,1000.0,1088000.0,2.5,272.0
1000.0,1.0,10.0,100.0,100000.00000000006,106496000.0,2.5,26624.0
1000.0,1.0,10.0,500.0,2499999.9999999986,2752512000.0,2.5,688128.0
1000.0,2.0,0.01,1.0,4.406249999999985,4.4403076171875,1.1015625,0.0011100769042968
1000.0,2.0,0.01,10.0,440.62499999999886,442.3828125,1.1015625,0.110595703125
1000.0,2.0,0.01,100.0,44062.499999999935,44375.0,1.1015625,11.09375
1000.0,2.0,0.01,500.0,1101562.4999999956,1110000.0,1.1015625,277.5
1000.0,2.0,0.1,1.0,4.4062499999999964,4.49371337890625,1.1015625,0.0011234283447265
1000.0,2.0,0.1,10.0,440.625,451.171875,1.1015625,0.11279296875
1000.0,2.0,0.1,100.0,44062.5,44500.0,1.1015625,11.125
1000.0,2.0,0.1,500.0,1101562.500000001,1126000.0,1.1015625,281.5
1000.0,2.0,1.0,1.0,7.250000000000014,546.875,1.8125,0.13671875
1000.0,2.0,1.0,10.0,724.9999999999997,53000.0,1.8125,13.25
1000.0,2.0,1.0,100.0,72500.00000000013,5248000.0,1.8125,1312.0
1000.0,2.0,1.0,500.0,1812500.0000000028,133120000.0,1.8125,33280.0
1000.0,2.0,10.0,1.0,27.49999999999998,27500.0,6.875,6.875
1000.0,2.0,10.0,10.0,2750.0000000000005,2752000.0,6.875,688.0
1000.0,2.0,10.0,100.0,275000.0000000002,274432000.0,6.875,68608.0
1000.0,2.0,10.0,500.0,6874999.999999996,6553600000.0,6.875,1638400.0
1000.0,3.0,0.01,1.0,4.570312499999984,4.608154296875,1.142578125,0.0011520385742187
1000.0,3.0,0.01,10.0,457.0312499999988,457.51953125,1.142578125,0.1143798828125
1000.0,3.0,0.01,100.0,45703.124999999935,45875.0,1.142578125,11.46875
1000.0,3.0,0.01,500.0,1142578.1249999956,1148000.0,1.142578125,287.0
1000.0,3.0,0.1,1.0,4.5859374999999964,4.64630126953125,1.146484375,0.0011615753173828
1000.0,3.0,0.1,10.0,458.59375,466.796875,1.146484375,0.11669921875
1000.0,3.0,0.1,100.0,45859.375,46750.0,1.146484375,11.6875
1000.0,3.0,0.1,500.0,1146484.375000001,1162000.0,1.146484375,290.5
1000.0,3.0,1.0,1.0,9.75000000000002,843.75,2.4375,0.2109375
